idx,diam,shift
1,20.135188174144268,1
2,20.04185133472328,1
3,20.088567008654024,1
4,20.184568399662425,1
5,20.16265093108981,1
6,19.96253826486091,1
7,20.106501374903594,1
8,20.032087145281736,1
9,20.040557920785687,1
10,20.082604151989756,1
11,20.068385541480698,1
12,20.16785311985203,1
13,20.1228708199831,1
14,20.081772768689135,1
15,20.110002539080945,1
16,20.107057919003683,1
17,20.195723101174664,1
18,20.078208089182485,1
19,20.120572181289027,1
20,20.041419697196346,1
21,19.512929434278366,2
22,19.74912590073125,2
23,19.769325849937772,2
24,19.6584899020287,2
25,19.880649308389508,2
26,19.61714023486143,2
27,19.730299189097437,2
28,19.71850404441314,2
29,19.847513381355245,2
30,19.84794076730981,2
31,19.75817170939275,2
32,19.77926551766332,2
33,19.69299064759587,2
34,19.619184574641057,2
35,19.741915534033588,2
36,19.7832727606724,2
37,19.86570395808047,2
38,19.86869158709736,2
39,19.759073736464888,2
40,19.77020397168352,2
